Kernel,B (batch),C (num channels),R (resolution),G (num groups), D (C/G),Bandwidth (GB/s),Speed (it/s), is_correct
torch.nn GN NCHW,1,320,128,32,10,287.6,9142.74,True
torch.nn GN NHWC,1,320,128,32,10,208.31,6621.97,True
GN NHWC         ,1,320,128,32,10,591.0,18787.62,True
GN NHWC V2      ,1,320,128,32,10,621.15,19745.93,True, *BEST*
torch.nn GN NCHW,1,640,64,32,20,251.9,16015.21,True
torch.nn GN NHWC,1,640,64,32,20,176.25,11205.49,True
GN NHWC         ,1,640,64,32,20,355.09,22576.3,True, *BEST*
GN NHWC V2      ,1,640,64,32,20,319.26,20298.19,True
torch.nn GN NCHW,1,1280,32,32,40,180.48,22949.26,True, *BEST*
torch.nn GN NHWC,1,1280,32,32,40,134.77,17137.43,True
GN NHWC         ,1,1280,32,32,40,177.59,22582.37,True
GN NHWC V2      ,1,1280,32,32,40,158.91,20206.98,True
torch.nn GN NCHW,1,2560,16,32,80,115.32,29326.54,True, *BEST*
torch.nn GN NHWC,1,2560,16,32,80,92.67,23567.77,True
GN NHWC         ,1,2560,16,32,80,88.24,22440.58,True
GN NHWC V2      ,1,2560,16,32,80,79.48,20212.85,True
torch.nn GN NCHW,4,320,128,32,10,582.23,4627.13,True
torch.nn GN NHWC,4,320,128,32,10,340.0,2702.06,True
GN NHWC         ,4,320,128,32,10,1351.01,10736.91,True, *BEST*
GN NHWC V2      ,4,320,128,32,10,1224.12,9728.46,True
torch.nn GN NCHW,4,640,64,32,20,536.08,8520.81,True
torch.nn GN NHWC,4,640,64,32,20,324.66,5160.33,True
GN NHWC         ,4,640,64,32,20,1042.07,16563.3,True, *BEST*
GN NHWC V2      ,4,640,64,32,20,978.61,15554.62,True
torch.nn GN NCHW,4,1280,32,32,40,551.05,17517.44,True
torch.nn GN NHWC,4,1280,32,32,40,333.57,10603.85,True
GN NHWC         ,4,1280,32,32,40,701.22,22291.37,True, *BEST*
GN NHWC V2      ,4,1280,32,32,40,640.05,20346.68,True
torch.nn GN NCHW,4,2560,16,32,80,412.4,26219.82,True, *BEST*
torch.nn GN NHWC,4,2560,16,32,80,259.83,16519.74,True
GN NHWC         ,4,2560,16,32,80,353.84,22496.35,True
GN NHWC V2      ,4,2560,16,32,80,317.24,20169.69,True
torch.nn GN NCHW,8,320,128,32,10,921.63,3662.24,True
torch.nn GN NHWC,8,320,128,32,10,431.36,1714.06,True
GN NHWC         ,8,320,128,32,10,1674.48,6653.82,True
GN NHWC V2      ,8,320,128,32,10,1725.36,6856.0,True, *BEST*
torch.nn GN NCHW,8,640,64,32,20,835.77,6642.15,True
torch.nn GN NHWC,8,640,64,32,20,418.21,3323.66,True
GN NHWC         ,8,640,64,32,20,1402.94,11149.57,True, *BEST*
GN NHWC V2      ,8,640,64,32,20,1255.35,9976.7,True
torch.nn GN NCHW,8,1280,32,32,40,739.95,11761.2,True
torch.nn GN NHWC,8,1280,32,32,40,398.62,6336.01,True
GN NHWC         ,8,1280,32,32,40,1043.06,16579.12,True, *BEST*
GN NHWC V2      ,8,1280,32,32,40,993.53,15791.74,True
torch.nn GN NCHW,8,2560,16,32,80,652.03,20727.39,True
torch.nn GN NHWC,8,2560,16,32,80,375.14,11925.41,True
GN NHWC         ,8,2560,16,32,80,666.77,21195.99,True, *BEST*
GN NHWC V2      ,8,2560,16,32,80,632.57,20109.04,True
